index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
05900,1953,1953-08-12,2,24.78,24.78,24.78,24.78,24.78,990000,0,0,0,0,0,0,0,1,0,0,0,0
05901,1953,1953-08-13,3,24.73,24.73,24.73,24.73,24.73,1040000,0,0,0,0,0,0,0,1,0,0,0,0
05902,1953,1953-08-14,4,24.62,24.62,24.62,24.62,24.62,1000000,0,0,0,0,0,0,0,1,0,0,0,0
05903,1953,1953-08-17,0,24.56,24.56,24.56,24.56,24.56,910000,0,0,0,0,0,0,0,1,0,0,0,0
05904,1953,1953-08-18,1,24.46,24.46,24.46,24.46,24.46,1030000,0,0,0,0,0,0,0,1,0,0,0,0
05905,1953,1953-08-19,2,24.31,24.31,24.31,24.31,24.31,1400000,0,0,0,0,0,0,0,1,0,0,0,0
05906,1953,1953-08-20,3,24.29,24.29,24.29,24.29,24.29,860000,0,0,0,0,0,0,0,1,0,0,0,0
05907,1953,1953-08-21,4,24.35,24.35,24.35,24.35,24.35,850000,0,0,0,0,0,0,0,1,0,0,0,0
05908,1953,1953-08-24,0,24.09,24.09,24.09,24.09,24.09,1320000,0,0,0,0,0,0,0,1,0,0,0,0
05909,1953,1953-08-25,1,23.93,23.93,23.93,23.93,23.93,1470000,0,0,0,0,0,0,0,1,0,0,0,0
05910,1953,1953-08-26,2,23.86,23.86,23.86,23.86,23.86,1060000,0,0,0,0,0,0,0,1,0,0,0,0
05911,1953,1953-08-27,3,23.79,23.79,23.79,23.79,23.79,1290000,0,0,0,0,0,0,0,1,0,0,0,0
05912,1953,1953-08-28,4,23.74,23.74,23.74,23.74,23.74,1060000,0,0,0,0,0,0,0,1,0,0,0,0
05913,1953,1953-08-31,0,23.32,23.32,23.32,23.32,23.32,2190000,0,0,0,0,0,0,0,1,0,0,0,0
05914,1953,1953-09-01,1,23.42,23.42,23.42,23.42,23.42,1580000,0,0,0,0,0,0,0,0,1,0,0,0
05915,1953,1953-09-02,2,23.56,23.56,23.56,23.56,23.56,1110000,0,0,0,0,0,0,0,0,1,0,0,0
05916,1953,1953-09-03,3,23.51,23.51,23.51,23.51,23.51,900000,0,0,0,0,0,0,0,0,1,0,0,0
05917,1953,1953-09-04,4,23.57,23.57,23.57,23.57,23.57,770000,0,0,0,0,0,0,0,0,1,0,0,0
05918,1953,1953-09-08,1,23.61,23.61,23.61,23.61,23.61,740000,0,0,0,0,0,0,0,0,1,0,0,0
05919,1953,1953-09-09,2,23.65,23.65,23.65,23.65,23.65,860000,0,0,0,0,0,0,0,0,1,0,0,0
05920,1953,1953-09-10,3,23.41,23.41,23.41,23.41,23.41,1010000,0,0,0,0,0,0,0,0,1,0,0,0
05921,1953,1953-09-11,4,23.14,23.14,23.14,23.14,23.14,1930000,0,0,0,0,0,0,0,0,1,0,0,0
05922,1953,1953-09-14,0,22.71,22.71,22.71,22.71,22.71,2550000,0,0,0,0,0,0,0,0,1,0,0,0
05923,1953,1953-09-15,1,22.9,22.9,22.9,22.9,22.9,2850000,0,0,0,0,0,0,0,0,1,0,0,0
